,name,player_name,mk_value
0,Sebastian Polter,Sebastian Polter,2200000.0
1,Branimir Hrgota,Branimir Hrgota,2500000.0
2,Mohamed Sankoh,Mohamed Sankoh,1000000.0
3,Jorge Molina,Jorge Molina,2000000.0
4,Marin Jakolis,Marin Jakolis,1200000.0
5,Sergio Córdova,Sergio Córdova,2000000.0
6,Sargis Adamyan,Sargis Adamyan,4000000.0
7,Marcus Ingvartsen,Marcus Ingvartsen,3500000.0
8,Takuma Asano,Takuma Asano,3000000.0
9,Simon Zoller,Simon Zoller,2750000.0
10,Andreas Voglsammer,Andreas Voglsammer,1700000.0
11,Taichi Hara,Taichi Hara,1300000.0
12,Sven Michel,Sven Michel,1200000.0
13,Florian Kainz,Florian Kainz,4000000.0
14,Georges Mikautadze,Georges Mikautadze,2200000.0
15,Didier Lamkel Zé,Didier Lamkel Zé,3500000.0
16,Fernando Forestieri,Fernando Forestieri,3500000.0
17,Elbasan Rashani,Elbasan Rashani,2500000.0
18,Myrto Uzuni,Myrto Uzuni,3000000.0
19,Nemanja Motika,Nemanja Motika,1200000.0
20,Kevin Behrens,Kevin Behrens,900000.0
21,Chris Führich,Chris Führich,4000000.0
22,Milan Djuric,Milan Djuric,1500000.0
23,Sebastian Soto,Sebastian Soto,400000.0
24,Lukas Haraslin,Lukas Haraslin,1700000.0
25,Jérémy Le Douaron,Jérémy Le Douaron,3000000.0
26,Kike García,Kike García,3000000.0
