,player_name_x,mk_value_x,season_id,player_id,date_of_birth,height,foot,position,apprance,score
0,Jesús Owono,200000.0,2021,631693,1-Mar-01,1.81,0,Goalkeeper,33.33333333333333,11.669468906891161
1,Jon McCracken,100000.0,2021,403564,"May 24, 2000 Happy Birthday",1.85,right,Goalkeeper,62.5,100.0
2,Luca Lezzerini,500000.0,2021,135747,24-Mar-95,1.95,right,Goalkeeper,46.15384615384615,11.3567153825352
3,Matthieu Dreyer,600000.0,2021,57134,20-Mar-89,1.88,right,Goalkeeper,42.10526315789473,0.0
4,Patrik Gunnarsson,500000.0,2021,429563,15-Nov-00,1.9,right,Goalkeeper,93.33333333333331,54.26482345886586
5,Álex Primo,100000.0,2021,939445,10-Jul-04,1.87,right,Goalkeeper,50.0,43.61500746610858
6,Abdoulaye Bakayoko,300000.0,2021,855615,15-Dec-02,1.85,both,Centre-Back,80.0,20.167121966897
7,Akim Zedadka,4000000.0,2021,327863,30-May-95,1.73,right,Right-Back,100.0,3.5352723766672085
8,Aridane Hernández,3200000.0,2021,82503,23-Mar-89,1.88,right,Centre-Back,71.42857142857143,1.2120933862859005
9,Benno Schmitz,3000000.0,2021,160968,17-Nov-94,1.82,right,Right-Back,96.875,28.680164979377565
10,Bosko Sutalo,3500000.0,2021,431698,1-Jan-00,1.88,right,Centre-Back,70.58823529411765,3.2961215982456054
11,CJ Egan-Riley,800000.0,2021,581669,2-Jan-03,1.83,right,Centre-Back,14.285714285714285,47.20047749133397
12,Charlie Goode,900000.0,2021,376856,3-Aug-95,1.96,right,Centre-Back,50.0,6.442766082811076
13,Connor Roberts,2500000.0,2021,214666,23-Sep-95,1.75,right,Right-Back,84.0,52.54378916921101
14,Cédric Brunner,3200000.0,2021,147038,17-Feb-94,1.8,right,Right-Back,100.0,18.935133108361455
15,Cédric Hountondji,3000000.0,2021,198709,19-Jan-94,1.94,right,Centre-Back,100.0,34.21179495420215
16,Deiver Machado,1800000.0,2021,332560,2-Sep-93,1.8,left,Left-Back,78.57142857142857,2.9016781065632102
17,Deyovaisio Zeefuik,4000000.0,2021,338032,11-Mar-98,1.77,right,Right-Back,84.61538461538461,61.31365447450935
18,Edo Kayembe,3000000.0,2021,486477,3-Jun-98,1.83,left,Defensive Midfield,81.08108108108108,12.968977333431766
19,Enzo Ebosse,2000000.0,2021,342877,11-Mar-99,1.85,left,Centre-Back,87.09677419354838,15.505435092502836
20,Falaye Sacko,4000000.0,2021,364857,1-May-95,1.79,right,Right-Back,91.66666666666666,18.93513310836144
21,Felix Passlack,3000000.0,2021,274461,29-May-98,1.7,right,Right-Back,37.03703703703704,28.599401265318036
22,Fredrik Björkan,2500000.0,2021,364938,21-Aug-98,1.8,left,Left-Back,90.0,50.745085435749104
23,George Bello,3000000.0,2021,504147,22-Jan-02,1.7,left,Left-Back,76.92307692307693,29.41651524328691
24,Gideon Jung,3000000.0,2021,247661,12-Sep-94,1.89,right,Centre-Back,55.55555555555556,5.711786026746665
25,Ismaël Traoré,1500000.0,2021,57216,18-Aug-86,1.84,right,Centre-Back,100.0,43.451711393218716
26,Ivan Radovanovic,3500000.0,2021,46105,29-Aug-88,1.87,right,Defensive Midfield,100.0,12.775188815683748
27,Jacob Barrett Laursen,1700000.0,2021,185164,17-Nov-94,1.79,left,Left-Back,85.71428571428571,22.52902060711797
28,Jean-Armel Kana-Biyik,2500000.0,2021,57404,3-Jul-89,1.84,right,Centre-Back,90.9090909090909,18.184739894526174
29,Jean-Kévin Duverne,4000000.0,2021,344864,12-Jul-97,1.84,right,Left-Back,97.36842105263158,36.604447000515904
30,Joakim Nilsson,3500000.0,2021,216804,6-Feb-94,1.87,left,Centre-Back,93.93939393939394,24.143086010352604
31,Justin Hoogma,2500000.0,2021,411287,11-Jun-98,1.9,left,Centre-Back,88.23529411764706,62.722915938028734
32,Jérémy Morel,1000000.0,2021,23960,2-Apr-84,1.72,left,Centre-Back,64.28571428571429,2.8488785840545603
33,Kacper Urbanski,200000.0,2021,699442,7-Sep-04,1.78,right,Defensive Midfield,100.0,55.64840109272055
34,Karim Azamoum,1500000.0,2021,275361,17-Jan-90,1.78,right,Centre-Back,100.0,34.21179495420215
35,Kiliann Sildillia,1500000.0,2021,548348,16-May-02,1.86,right,Right-Back,35.0,12.208473940757415
36,Lennard Maloney,350000.0,2021,392710,8-Oct-99,1.87,right,Defensive Midfield,50.0,100.0
37,Lion Semic,500000.0,2021,521919,13-Sep-03,1.69,both,Right-Back,50.0,100.0
38,Lluís Recasens,150000.0,2021,705810,19-Feb-02,1.83,right,Centre-Back,100.0,55.64840109272055
39,Luca Itter,2000000.0,2021,296378,5-Jan-99,1.83,left,Left-Back,92.3076923076923,23.061348100718206
40,Luca Vignali,1300000.0,2021,287367,11-Jan-96,1.86,right,Right-Back,100.0,52.69162783223524
41,Lucas Calodat,150000.0,2021,857653,6-Feb-02,0.0,left,Left-Back,100.0,55.64840109272055
42,Lukas Kübler,2500000.0,2021,93604,30-Aug-92,1.82,right,Right-Back,96.66666666666669,57.47174460335316
43,Mads Pedersen,2000000.0,2021,288429,1-Sep-96,1.74,left,Left-Back,93.5483870967742,13.117761201508827
44,Mads Roerslev,2500000.0,2021,391005,24-Jun-99,1.84,right,Right-Back,58.333333333333336,29.751995286303526
45,Mamadou Fofana,3200000.0,2021,402004,21-Jan-98,1.86,both,Centre-Back,100.0,55.64840109272055
46,Manuel Prietl,1800000.0,2021,152317,3-Aug-91,1.87,right,Defensive Midfield,92.85714285714286,41.614288009917146
47,Marco Meyerhöfer,2000000.0,2021,196084,18-Nov-95,1.79,right,Right-Back,100.0,80.09106004606565
48,Mario Gila,500000.0,2021,618341,29-Aug-00,1.85,right,Centre-Back,66.66666666666666,6.368846751298932
49,Martin Valjent,4000000.0,2021,277384,11-Dec-95,1.87,right,Centre-Back,97.2972972972973,8.779549274487422
50,Matej Maglica,900000.0,2021,433388,25-Sep-98,1.98,left,Centre-Back,94.44444444444444,90.28371453568303
51,Matteo Ruggeri,2000000.0,2021,616631,11-Jul-02,1.87,left,Left-Back,100.0,28.667845090792227
52,Matthieu Udol,2500000.0,2021,344886,20-Mar-96,1.78,left,Left-Back,100.0,52.69162783223524
