league_name,goals
Bundesliga,3
Bundesliga,8
Bundesliga,11
Bundesliga,3
Bundesliga,3
Bundesliga,
Bundesliga,
Bundesliga,3
Bundesliga,1
Bundesliga,7
Bundesliga,1
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,4
Bundesliga,1
Bundesliga,1
Bundesliga,3
Bundesliga,
Bundesliga,
Bundesliga,4
Bundesliga,2
Bundesliga,
Bundesliga,
Bundesliga,1
Bundesliga,4
Bundesliga,
Bundesliga,
Bundesliga,2
Bundesliga,10
Bundesliga,
Bundesliga,5
Bundesliga,
Bundesliga,
Bundesliga,12
Bundesliga,1
Bundesliga,3
Bundesliga,3
Bundesliga,
Bundesliga,2
Bundesliga,1
Bundesliga,
Bundesliga,
Bundesliga,2
Bundesliga,2
Bundesliga,3
Bundesliga,
Bundesliga,
Bundesliga,2
Bundesliga,
Bundesliga,
Bundesliga,7
Bundesliga,
Bundesliga,
Bundesliga,4
Bundesliga,
Bundesliga,7
Bundesliga,8
Bundesliga,
Bundesliga,6
Bundesliga,3
Bundesliga,6
Bundesliga,
Bundesliga,
Bundesliga,1
Bundesliga,1
Bundesliga,4
Bundesliga,5
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,8
Bundesliga,
Bundesliga,
Bundesliga,2
Bundesliga,
Bundesliga,2
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,2
Bundesliga,1
Bundesliga,1
Bundesliga,
Bundesliga,2
Bundesliga,
Bundesliga,1
Bundesliga,3
Bundesliga,
Bundesliga,9
Bundesliga,
Bundesliga,
Bundesliga,4
Bundesliga,4
Bundesliga,5
Bundesliga,7
Bundesliga,2
Bundesliga,5
Bundesliga,
Bundesliga,
Bundesliga,4
Bundesliga,2
Bundesliga,3
Bundesliga,3
Bundesliga,1
Bundesliga,
Bundesliga,
Bundesliga,1
Bundesliga,1
Bundesliga,
Bundesliga,4
Bundesliga,8
Bundesliga,
Bundesliga,
Bundesliga,1
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,2
Bundesliga,
Bundesliga,3
Bundesliga,1
Bundesliga,1
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,2
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,3
Bundesliga,
Bundesliga,6
Bundesliga,1
Bundesliga,1
Bundesliga,4
Bundesliga,3
Bundesliga,3
Bundesliga,3
Bundesliga,
Bundesliga,4
Bundesliga,1
Bundesliga,
Bundesliga,
Bundesliga,3
Bundesliga,3
Bundesliga,
Bundesliga,2
Bundesliga,1
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,4
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,2
Bundesliga,2
Bundesliga,
Bundesliga,
Bundesliga,3
Bundesliga,3
Bundesliga,2
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,1
Bundesliga,
Bundesliga,4
Bundesliga,1
Bundesliga,
Bundesliga,2
Bundesliga,2
Bundesliga,2
Bundesliga,
Bundesliga,
Bundesliga,5
Bundesliga,
Bundesliga,
Bundesliga,6
Bundesliga,1
Bundesliga,4
Bundesliga,1
Bundesliga,6
Bundesliga,5
Bundesliga,4
Bundesliga,
Bundesliga,4
Bundesliga,
Bundesliga,1
Bundesliga,2
Bundesliga,1
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,1
Bundesliga,1
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,1
Bundesliga,
Bundesliga,1
Bundesliga,1
Bundesliga,1
Bundesliga,
Bundesliga,4
Bundesliga,12
Bundesliga,12
Bundesliga,15
Bundesliga,6
Bundesliga,6
Bundesliga,2
Bundesliga,
Bundesliga,3
Bundesliga,
Bundesliga,
Bundesliga,1
Bundesliga,2
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,1
Bundesliga,1
Bundesliga,1
Bundesliga,7
Bundesliga,
Bundesliga,
Bundesliga,2
Bundesliga,5
Bundesliga,
Bundesliga,
Bundesliga,7
Bundesliga,
Bundesliga,3
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,1
Bundesliga,
Bundesliga,
Bundesliga,9
Bundesliga,2
Bundesliga,
Bundesliga,4
Bundesliga,3
Bundesliga,
Bundesliga,
Bundesliga,1
Bundesliga,2
Bundesliga,2
Bundesliga,1
Bundesliga,1
Bundesliga,2
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,4
Bundesliga,
Bundesliga,3
Bundesliga,5
Bundesliga,20
Bundesliga,3
Bundesliga,2
Bundesliga,2
Bundesliga,
Bundesliga,2
Bundesliga,
Bundesliga,
Bundesliga,2
Bundesliga,2
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,1
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,4
Bundesliga,1
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,1
Bundesliga,5
Bundesliga,1
Bundesliga,2
Bundesliga,4
Bundesliga,
Bundesliga,9
Bundesliga,
Bundesliga,
Bundesliga,5
Bundesliga,9
Bundesliga,2
Bundesliga,
Bundesliga,2
Bundesliga,
Bundesliga,
Bundesliga,2
Bundesliga,
Bundesliga,
Bundesliga,7
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,1
Bundesliga,
Bundesliga,2
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,2
Bundesliga,2
Bundesliga,2
Bundesliga,2
Bundesliga,
Bundesliga,
Bundesliga,2
Bundesliga,1
Bundesliga,2
Bundesliga,5
Bundesliga,3
Bundesliga,
Bundesliga,10
Bundesliga,
Bundesliga,2
Bundesliga,3
Bundesliga,8
Bundesliga,
Bundesliga,2
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,1
Bundesliga,1
Bundesliga,1
Bundesliga,1
Bundesliga,1
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,1
Bundesliga,
Bundesliga,3
Bundesliga,
Bundesliga,
Bundesliga,3
Bundesliga,1
Bundesliga,1
Bundesliga,2
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,5
Bundesliga,
Bundesliga,3
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,6
Bundesliga,1
Bundesliga,14
Bundesliga,7
Bundesliga,8
Bundesliga,35
Bundesliga,4
Bundesliga,
Bundesliga,1
Bundesliga,
Bundesliga,1
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,4
Bundesliga,
Bundesliga,1
Bundesliga,2
Bundesliga,2
Bundesliga,2
Bundesliga,3
Bundesliga,1
Bundesliga,1
Bundesliga,
Bundesliga,5
Bundesliga,2
Bundesliga,
Bundesliga,3
Bundesliga,2
Bundesliga,2
Bundesliga,12
Bundesliga,
Bundesliga,
Bundesliga,2
Bundesliga,12
Bundesliga,9
Bundesliga,9
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,
Bundesliga,4
Bundesliga,
Bundesliga,5
Bundesliga,1
Bundesliga,1
Bundesliga,
Bundesliga,22
Bundesliga,2
Bundesliga,3
Bundesliga,2
Bundesliga,1
Bundesliga,2
Bundesliga,2
Bundesliga,1
Bundesliga,1
Bundesliga,
Bundesliga,3
Bundesliga,
Bundesliga,
Bundesliga,4
Bundesliga,3
Bundesliga,1
Bundesliga,1
Bundesliga,
Bundesliga,1
Bundesliga,
Bundesliga,
Bundesliga,3
Bundesliga,6
Bundesliga,6
Bundesliga,
Bundesliga,1
Bundesliga,
Bundesliga,
Bundesliga,20
Bundesliga,11
Bundesliga,1
Bundesliga,5
Bundesliga,6
Bundesliga,6
Bundesliga,2
Bundesliga,
LaLiga,1
LaLiga,
LaLiga,1
LaLiga,
LaLiga,2
LaLiga,14
LaLiga,1
LaLiga,1
LaLiga,
LaLiga,6
LaLiga,
LaLiga,2
LaLiga,
LaLiga,
LaLiga,6
LaLiga,15
LaLiga,1
LaLiga,1
LaLiga,1
LaLiga,
LaLiga,
LaLiga,
LaLiga,6
LaLiga,1
LaLiga,1
LaLiga,7
LaLiga,
LaLiga,
LaLiga,1
LaLiga,5
LaLiga,1
LaLiga,5
LaLiga,1
LaLiga,5
LaLiga,1
LaLiga,
LaLiga,2
LaLiga,2
LaLiga,
LaLiga,
LaLiga,
LaLiga,
LaLiga,1
LaLiga,2
LaLiga,3
LaLiga,
LaLiga,
LaLiga,
LaLiga,2
LaLiga,
LaLiga,
LaLiga,1
LaLiga,3
LaLiga,1
LaLiga,
LaLiga,1
LaLiga,
LaLiga,
LaLiga,2
LaLiga,1
LaLiga,
LaLiga,2
LaLiga,1
