,player_name,season_id,player_id,club_id,height,foot,position,age,score
0,Aaron Ramsey,2021,646658,506,1.81,right,Central Midfield,30.0,24.464056411151493
1,Adam Jakubech,2021,258267,1082,1.88,right,Goalkeeper,24.0,7.612532007236848
2,Alberto Flores,2021,766552,368,1.87,left,Goalkeeper,17.0,7.612532007236848
3,Alessandro Plizzari,2021,357991,5,1.87,right,Goalkeeper,21.0,7.612532007236848
4,Alex Meret,2021,240414,6195,1.9,left,Goalkeeper,24.0,21.071351707344157
5,Alfie Devine,2021,728734,148,1.82,right,Attacking Midfield,16.0,0.0
6,Alfonso Pastor,2021,537367,368,1.9,right,Goalkeeper,20.0,7.612532007236848
7,Alphonse Areola,2021,120629,1050,1.95,right,Goalkeeper,28.0,8.54593674149608
8,Andrea Favilli,2021,340151,506,1.91,right,Centre-Forward,24.0,21.42194531366153
9,Andrea Oliveri,2021,663939,800,1.81,right,Right Midfield,18.0,0.0
10,Andreas Jungdal,2021,592924,5,1.95,right,Goalkeeper,19.0,7.612532007236848
11,Andy Diouf,2021,711976,273,1.87,left,Central Midfield,18.0,10.862696056012892
12,Antonio Cioffi,2021,566936,6195,1.8,right,Left Winger,18.0,0.0
13,Antonio Gomis,2021,930415,13,0.0,left,Goalkeeper,18.0,7.612532007236848
14,Antonio Pacheco,2021,568156,1050,1.84,right,Central Midfield,19.0,0.0
15,Antonio Vergara,2021,703245,6195,1.82,left,Attacking Midfield,18.0,0.0
16,Antonio Zarzana,2021,587562,368,1.77,left,Right Winger,19.0,0.0
17,Anwar El Ghazi,2021,183720,1082,1.89,right,Right Winger,26.0,23.11426824359113
18,Arijon Ibrahimovic,2021,744728,27,1.8,right,Attacking Midfield,15.0,0.0
19,Arnau Tenas,2021,466783,131,1.85,right,Goalkeeper,20.0,7.612532007236848
20,Benjamin André,2021,84301,1082,1.8,right,Defensive Midfield,30.0,19.07741755923256
21,Benoît Costil,2021,22628,273,1.88,right,Goalkeeper,33.0,17.532766025003994
22,Bernd Leno,2021,72476,15,1.9,right,Goalkeeper,29.0,16.064774712907663
23,Bertrand Traoré,2021,131996,1041,1.81,left,Right Winger,25.0,22.15872121812989
24,Bica,2021,743987,1082,1.8,right,Centre-Forward,18.0,0.0
25,Brandon Austin,2021,428016,148,1.88,right,Goalkeeper,22.0,7.612532007236848
26,Capita,2021,666545,1082,1.71,left,Left Winger,19.0,0.0
27,Carles Pérez,2021,282810,131,1.73,left,Right Winger,23.0,23.46285473722563
28,Carlo García,2021,627287,1050,1.82,right,Attacking Midfield,20.0,11.40583085881354
29,Carlo Pinsoglio,2021,75411,506,1.94,left,Goalkeeper,31.0,8.634972203569026
30,Carlos Baleba,2021,973085,1082,1.79,left,Central Midfield,17.0,0.0
31,Carlos Martín,2021,618813,13,1.8,right,Centre-Forward,19.0,3.838098535364358
32,Cesare Casadei,2021,622380,46,1.85,right,Central Midfield,18.0,0.0
33,Cesc Fàbregas,2021,8806,631,1.79,right,Central Midfield,34.0,18.249329374101663
34,Christian Früchtl,2021,336307,27,1.93,left,Goalkeeper,21.0,20.19152874646779
35,Cieran Slicker,2021,621997,281,0.0,0,Goalkeeper,18.0,7.612532007236848
36,Ciprian Tatarusanu,2021,55282,1041,1.98,right,Goalkeeper,35.0,12.454335581603274
37,Clément Grenier,2021,72479,1041,1.86,right,Central Midfield,30.0,22.89280075828937
38,Cole Palmer,2021,568177,281,1.89,left,Attacking Midfield,19.0,22.5663750324913
39,Cristo González,2021,339707,418,1.78,right,Centre-Forward,23.0,0.0
40,Dane Scarlett,2021,670883,148,1.8,right,Centre-Forward,17.0,16.06645898524615
41,Daniel Ginczek,2021,79501,82,1.91,right,Centre-Forward,30.0,13.261204241790471
42,Daniel Maldini,2021,539134,5,1.88,right,Attacking Midfield,19.0,11.756785253125184
43,Davide Marfella,2021,417414,6195,1.82,right,Goalkeeper,21.0,10.73663605176522
44,Denis Franchi,2021,606576,583,1.89,right,Goalkeeper,18.0,7.612532007236848
45,Dennis Curatolo,2021,819036,46,0.0,right,Centre-Forward,17.0,0.0
46,Diego Piñeiro,2021,926850,418,0.0,0,Goalkeeper,17.0,7.612532007236848
47,Dilan Markanday,2021,530807,148,1.67,left,Right Winger,19.0,0.0
48,Djeidi Gassama,2021,795657,583,1.77,right,Left Winger,17.0,21.42194531366153
49,Désiré Doué,2021,914562,273,1.81,right,Attacking Midfield,16.0,0.0
50,Edouard Michut,2021,659521,583,1.77,right,Central Midfield,18.0,17.281561907293238
51,Elias Damergy,2021,693312,273,1.86,right,Goalkeeper,18.0,7.612532007236848
52,Eliot Matazo,2021,535834,162,1.7,right,Central Midfield,19.0,22.451847793475704
53,Emanuele Zuelli,2021,477556,506,1.79,both,Central Midfield,19.0,0.0
