,player_id,Current_club_ID,Name,Main_position,Season_year,Market_Value,Date_of_birth,Age,Height,Foot,Ajent
0,108390,631,Thibaut Courtois,Goalkeeper,2015,60000000.0,"May 11, 1992 ",31.0,"2,00",left,Christophe Henrotay 
1,33873,631,Asmir Begovic,Goalkeeper,2015,1000000.0,"Jun 20, 1987 ",35.0,"1,99",right,Mondial 
2,128898,631,Jamal Blackman,Goalkeeper,2015,400000.0,"Oct 27, 1993 ",29.0,"1,99",right,Panthera Sports 
3,16810,631,Marco Amelia,Goalkeeper,2015,,"Apr 2, 1982 ",41.0,"1,90",right,
4,157509,631,Kurt Zouma,Centre-Back,2015,28000000.0,"Oct 27, 1994 ",28.0,"1,90",right,
5,27511,631,Gary Cahill,Centre-Back,2015,,"Dec 19, 1985 ",37.0,"1,93",right,
6,177476,631,Nathan Aké,Centre-Back,2015,35000000.0,"Feb 18, 1995 ",28.0,"1,80",left,Wasserman 
7,136610,631,Papy Djilobodji,Centre-Back,2015,1000000.0,"Dec 1, 1988 ",34.0,"1,93",left,Pro-Onesports ... 
8,148657,631,Tomas Kalas,Centre-Back,2015,1200000.0,"May 15, 1993 ",30.0,"1,84",right,SPORT INVEST 
9,157490,631,Michael Hector,Centre-Back,2015,900000.0,"Jul 19, 1992 ",30.0,"1,93",right,Relatives 
10,3160,631,John Terry,Centre-Back,2015,,"Dec 7, 1980 ",42.0,"1,87",right,Elite Management ... 
11,245893,631,Matt Miazga,Centre-Back,2015,2000000.0,"Jul 19, 1995 ",27.0,"1,93",right,Promoesport 
12,303254,631,Fikayo Tomori,Centre-Back,2015,45000000.0,"Dec 19, 1997 ",25.0,"1,85",right,SPORT INVEST 
13,316551,631,Jake Clarke-Salter,Centre-Back,2015,2500000.0,"Sep 22, 1997 ",25.0,"1,88",left,New Era Global ... 
14,224884,631,Abdul-Rahman Baba,Left-Back,2015,1800000.0,"Jul 2, 1994 ",28.0,"1,79",left,SPOCS Global Sports 
15,57500,631,César Azpilicueta,Right-Back,2015,8000000.0,"Aug 28, 1989 ",33.0,"1,78",right,Relatives 
16,36827,631,Branislav Ivanovic,Right-Back,2015,,"Feb 22, 1984 ",39.0,"1,85",right,Star Management ... 
17,236490,631,Ola Aina,Right-Back,2015,3500000.0,"Oct 8, 1996 ",26.0,"1,84",right,Elite Project Group ... 
18,74683,631,Nemanja Matic,Defensive Midfield,2015,4000000.0,"Aug 1, 1988 ",34.0,"1,94",left,Universal Twenty Two 
19,30739,631,Mikel John Obi,Defensive Midfield,2015,,"Apr 22, 1987 ",36.0,"1,88",right,
20,8806,631,Cesc Fàbregas,Central Midfield,2015,1500000.0,"May 4, 1987 ",36.0,"1,79",right,Darren Dein 
21,54170,631,Ramires,Central Midfield,2015,,"Mar 24, 1987 ",36.0,"1,79",right,
22,202886,631,Ruben Loftus-Cheek,Central Midfield,2015,25000000.0,"Jan 23, 1996 ",27.0,"1,91",right,CAA Stellar 
23,236496,631,Charlie Colkett,Central Midfield,2015,175000.0,"Sep 4, 1996 ",26.0,"1,76",left,GS Magna 
24,91970,631,Juan Cuadrado,Right Midfield,2015,5000000.0,"May 26, 1988 ",34.0,"1,76",right,Andrei Martínez 
25,59866,631,Victor Moses,Right Midfield,2015,2500000.0,"Dec 12, 1990 ",32.0,"1,77",right,ROOF 
26,85314,631,Oscar,Attacking Midfield,2015,8000000.0,"Sep 9, 1991 ",31.0,"1,79",right,Bertolucci Sports 
27,176485,631,Lucas Piazon,Attacking Midfield,2015,2000000.0,"Jan 20, 1994 ",29.0,"1,82",right,P&P Sport ... 
28,258216,631,Kasey Palmer,Attacking Midfield,2015,1200000.0,"Nov 9, 1996 ",26.0,"1,75",right,Concilium Sport 
29,50202,631,Eden Hazard,Left Winger,2015,5000000.0,"Jan 7, 1991 ",32.0,"1,75",right,Relatives 
30,52769,631,Willian,Left Winger,2015,3000000.0,"Aug 9, 1988 ",34.0,"1,75",right,Sports Invest UK ltd 
31,281404,631,Kenedy,Left Winger,2015,3000000.0,"Feb 8, 1996 ",27.0,"1,82",left,
32,65278,631,Pedro,Right Winger,2015,2500000.0,"Jul 28, 1987 ",35.0,"1,67",both,Bahía Internacional 
33,131996,631,Bertrand Traoré,Right Winger,2015,14000000.0,"Sep 6, 1995 ",27.0,"1,81",left,CAA Stellar 
34,44779,631,Diego Costa,Centre-Forward,2015,3500000.0,"Oct 7, 1988 ",34.0,"1,86",right,A10 PRO 
35,39152,631,Radamel Falcao,Centre-Forward,2015,2000000.0,"Feb 10, 1986 ",37.0,"1,77",right,Gestifute 
36,37579,631,Alexandre Pato,Centre-Forward,2015,700000.0,"Sep 2, 1989 ",33.0,"1,80",right,4ComM 
37,45121,631,Loïc Rémy,Centre-Forward,2015,150000.0,"Jan 2, 1987 ",36.0,"1,85",right,Relatives 
38,183334,631,Patrick Bamford,Centre-Forward,2015,10000000.0,"Sep 5, 1993 ",29.0,"1,85",left,CAA Stellar 
39,331726,631,Tammy Abraham,Centre-Forward,2015,45000000.0,"Oct 2, 1997 ",25.0,"1,94",right,ROOF 
40,40204,281,Joe Hart,Goalkeeper,2015,1700000.0,"Apr 19, 1987 ",36.0,"1,96",right,OmniSports 
41,19948,281,Willy Caballero,Goalkeeper,2015,200000.0,"Sep 28, 1981 ",41.0,"1,86",right,
42,3120,281,Richard Wright,Goalkeeper,2015,,"Nov 5, 1977 ",45.0,"1,90",right,CAA Stellar 
43,54781,281,Nicolás Otamendi,Centre-Back,2015,3000000.0,"Feb 12, 1988 ",35.0,"1,83",right,Gestifute 
