,player_id,Current_club_ID,Name,Main_position,Season_year,Market_Value,Date_of_birth,Age,Height,Foot,Ajent
3,16810,631,Marco Amelia,Goalkeeper,2015,250000.0,2-Apr-82,33.0,"1,90",right,
19,30739,631,Mikel John Obi,Defensive Midfield,2015,10000000.0,22-Apr-87,28.0,"1,88",right,
21,54170,631,Ramires,Central Midfield,2015,15000000.0,24-Mar-87,28.0,"1,79",right,
23,236496,631,Charlie Colkett,Central Midfield,2015,,4-Sep-96,18.0,"1,76",left,GS Magna 
42,3120,281,Richard Wright,Goalkeeper,2015,250000.0,5-Nov-77,37.0,"1,90",right,CAA Stellar 
57,210202,281,James Horsfield,,2015,,30-Nov-95,19.0,"1,78",right,SME 83 
60,181498,281,George Evans,Defensive Midfield,2015,500000.0,13-Dec-94,20.0,"1,84",right,Wasserman 
62,201570,281,George Glendon,Defensive Midfield,2015,,3-May-95,20.0,"1,77",right,
72,214927,281,Brandon Barker,Left Winger,2015,,4-Oct-96,18.0,"1,80",right,
77,272624,281,David Faupala,Centre-Forward,2015,,11-Feb-97,18.0,"1,85",right,
97,242632,11,Glen Kamara,Defensive Midfield,2015,,28-Oct-95,19.0,"1,83",right,StormSportsX 
103,7451,11,Mikel Arteta,Central Midfield,2015,2000000.0,26-Mar-82,33.0,"1,77",right,
106,132,11,Tomas Rosicky,Attacking Midfield,2015,1000000.0,4-Oct-80,34.0,"1,79",both,Int. Sport ... 
113,121990,11,Wellington Silva,Right Winger,2015,2000000.0,6-Jan-93,22.0,"1,70",right,Velop4 Sports Ltd. 
129,314388,985,Ro-Shaun Williams,Centre-Back,2015,,3-Sep-98,16.0,"1,84",right,
134,134414,985,Tyler Blackett,Left-Back,2015,1000000.0,2-Apr-94,21.0,"1,83",left,CAA Base Ltd 
140,340194,985,Regan Poole,Right-Back,2015,,18-Jun-98,17.0,"1,80",right,Elite Management ... 
144,387036,985,Joe Riley,Defensive Midfield,2015,,6-Dec-96,18.0,"1,76",right,Extra Time Sports ... 
148,183293,985,Joe Rothwell,Central Midfield,2015,100000.0,11-Jan-95,20.0,"1,85",right,
150,289843,985,Sean Goss,Central Midfield,2015,,1-Oct-95,19.0,"1,79",left,
154,134424,985,Nick Powell,Attacking Midfield,2015,1500000.0,23-Mar-94,21.0,"1,83",both,SEM Group plc. 
166,243591,31,Lawrence Vigouroux,Goalkeeper,2015,100000.0,19-Nov-93,21.0,"1,94",right,Refuel Performance ... 
167,193861,31,Ryan Fulton,Goalkeeper,2015,,"May 23, 1996 Happy Birthday",19.0,"1,91",right,
174,3202,31,Kolo Touré,Centre-Back,2015,2000000.0,19-Mar-81,34.0,"1,78",right,
175,264193,31,Dan Cleary,Centre-Back,2015,,9-Mar-96,19.0,"1,82",right,YMU Group 
178,35571,31,José Enrique,Left-Back,2015,1500000.0,23-Jan-86,29.0,"1,84",left,Football Management ... 
180,263556,31,Joe Maguire,Left-Back,2015,,18-Jan-96,19.0,"1,79",left,
187,258924,31,Jordan Rossiter,Defensive Midfield,2015,750000.0,24-Mar-97,18.0,"1,78",right,Wasserman 
193,261357,31,Cameron Brannagan,Central Midfield,2015,,9-May-96,19.0,"1,80",right,New Era Global ... 
195,132214,31,João Carlos Teixeira,Attacking Midfield,2015,1000000.0,18-Jan-93,22.0,"1,77",right,Universal Twenty Two 
229,283655,148,Grant Ward,Right Midfield,2015,350000.0,5-Dec-94,20.0,"1,78",right,Unique Sports Group 
239,4267,29,Tim Howard,Goalkeeper,2015,2000000.0,6-Mar-79,36.0,"1,91",right,Wasserman 
240,242089,29,Jindrich Stanek,Goalkeeper,2015,100000.0,27-Apr-96,19.0,"1,92",right,SPORT INVEST 
252,3614,29,Tony Hibbert,Right-Back,2015,500000.0,20-Feb-81,34.0,"1,73",right,
253,52432,29,Felipe Mattioni,Right-Back,2015,500000.0,15-Oct-88,26.0,"1,77",right,
257,308632,29,Callum Connolly,Defensive Midfield,2015,,23-Sep-97,17.0,"1,83",right,Wasserman 
262,3620,29,Leon Osman,Central Midfield,2015,1000000.0,17-May-81,34.0,"1,73",right,CAA Stellar 
263,218355,29,Conor Grant,Central Midfield,2015,,18-Apr-95,20.0,"1,76",left,Wasserman 
280,13640,180,Kelvin Davis,Goalkeeper,2015,250000.0,29-Sep-76,38.0,"1,85",right,
282,121280,180,Steven Caulker,Centre-Back,2015,7500000.0,29-Dec-91,23.0,"1,91",right,Relatives 
288,226978,180,Jordan Turnbull,Centre-Back,2015,250000.0,30-Oct-94,20.0,"1,85",left,Unique Sports Group 
293,227185,180,Jason McCarthy,Right-Back,2015,,7-Nov-95,19.0,"1,86",right,Unique Sports Group 
310,247647,180,Ryan Seager,Centre-Forward,2015,,5-Feb-96,19.0,"1,76",right,ELITE SPORTS KSE LTD 
315,258023,379,Sam Howes,Goalkeeper,2015,,10-Nov-97,17.0,"1,90",right,
323,183281,379,Leo Chambers,Centre-Back,2015,250000.0,5-Aug-95,19.0,"1,86",right,
327,242646,379,Nathan Mavila,Left-Back,2015,,15-Oct-95,19.0,"1,75",left,no agent 
331,34672,379,Joey O'Brien,Right-Back,2015,1500000.0,17-Feb-86,29.0,"1,80",right,
333,291171,379,Kyle Knoyle,Right-Back,2015,,24-Sep-96,18.0,"1,73",right,Refuel Performance ... 
336,27394,379,Alex Song,Defensive Midfield,2015,10000000.0,9-Sep-87,27.0,"1,85",right,Darren Dein 
337,242648,379,Amos Nasha,Defensive Midfield,2015,,4-Sep-95,19.0,,,
338,292734,379,George Dobson,Defensive Midfield,2015,,15-Nov-97,17.0,"1,85",right,OmniSports 
341,183286,379,Diego Poyet,Central Midfield,2015,750000.0,8-Apr-95,20.0,"1,80",right,Falsenine 
347,3950,379,Kevin Nolan,Attacking Midfield,2015,2000000.0,24-Jun-82,33.0,"1,83",right,
349,229826,379,Elliot Lee,Attacking Midfield,2015,,16-Dec-94,20.0,"1,80",right,FullNinety 
352,345961,379,Djair Parfitt-Williams,Left Winger,2015,,1-Oct-96,18.0,"1,72",right,
359,46831,379,Modibo Maïga,Centre-Forward,2015,2000000.0,3-Sep-87,27.0,"1,85",left,BESTWAY SOCCER ... 
360,25742,379,Nikica Jelavic,Centre-Forward,2015,1200000.0,27-Aug-85,29.0,"1,88",both,Pharos Sport Agency 
361,242603,379,Jordan Brown,Centre-Forward,2015,,10-Nov-96,18.0,"1,85",right,
369,6150,762,Fabricio Coloccini,Centre-Back,2015,2000000.0,22-Jan-82,33.0,"1,84",right,Marcelo Lombilla 
370,10642,762,Mike Williamson,Centre-Back,2015,1500000.0,8-Nov-83,31.0,"1,94",right,
371,17273,762,Steven Taylor,Centre-Back,2015,1500000.0,23-Jan-86,29.0,"1,86",right,Sezer Bravo 
378,312533,762,Callum Williams,Right-Back,2015,,4-Feb-97,18.0,"1,80",right,
380,33478,762,Cheik Tioté,Defensive Midfield,2015,6000000.0,21-Jun-86,29.0,"1,80",right,
381,30670,762,Vurnon Anita,Defensive Midfield,2015,4000000.0,4-Apr-89,26.0,"1,69",right,Relatives 
385,158697,762,Gaël Bigirimana,Central Midfield,2015,750000.0,22-Oct-93,21.0,"1,75",right,no agent 
387,45509,762,Siem de Jong,Attacking Midfield,2015,7000000.0,28-Jan-89,26.0,"1,85",right,Forza Sports Group 
390,92381,762,Sammy Ameobi,Left Winger,2015,5000000.0,1-May-92,23.0,"1,90",left,Wasserman 
391,23825,762,Yoan Gouffran,Left Winger,2015,4000000.0,25-May-86,29.0,"1,75",right,Relatives 
395,43261,762,Gabriel Obertan,Right Winger,2015,1000000.0,26-Feb-89,26.0,"1,86",right,JL Sport Consulting 
397,76560,762,Haris Vuckic,Second Striker,2015,750000.0,21-Aug-92,22.0,"1,86",left,Dejan Vukadinovic ... 
400,33952,762,Papiss Cissé,Centre-Forward,2015,7500000.0,3-Jun-85,30.0,"1,80",right,Lionstep Consulting 
406,3357,1003,Mark Schwarzer,Goalkeeper,2015,500000.0,6-Oct-72,42.0,,,
407,257293,1003,Jonny Maddison,Goalkeeper,2015,,4-Sep-94,20.0,"1,83",,
412,128906,1003,Liam Moore,Centre-Back,2015,2000000.0,31-Jan-93,22.0,"1,85",right,Unique Sports Group 
416,3296,1003,Paul Konchesky,Left-Back,2015,500000.0,15-May-81,34.0,"1,78",left,CAA Base Ltd 
418,55687,1003,Ritchie De Laet,Right-Back,2015,2500000.0,28-Nov-88,26.0,"1,84",right,YMU Group 
420,19041,1003,Gökhan Inler,Defensive Midfield,2015,6000000.0,27-Jun-84,31.0,"1,83",both,no agent 
424,33065,1003,Dean Hammond,Central Midfield,2015,500000.0,7-Mar-83,32.0,"1,82",right,
429,261738,1003,Joseph Dodoo,Left Winger,2015,,29-Jun-95,20.0,"1,86",right,Forum Sports 
430,383152,1003,André Olukanmi,Left Winger,2015,,1-Dec-97,17.0,,,
433,224673,1003,Harry Panayiotou,Second Striker,2015,,28-Oct-94,20.0,"1,78",right,Forum Sports 
438,251914,1003,Jacob Blyth,Centre-Forward,2015,100000.0,14-Aug-92,22.0,"1,91",right,
449,107617,512,Dionatan Teixeira,Centre-Back,2015,500000.0,24-Jul-92,22.0,"1,93",left,
460,335541,512,Oliver Shenton,Attacking Midfield,2015,,6-Nov-97,17.0,"1,75",left,
461,242280,512,Mohamed El Ouriachi,Left Winger,2015,250000.0,13-Jan-96,19.0,"1,80",left,Global Sports ... 
463,12516,512,Peter Odemwingie,Right Winger,2015,1500000.0,15-Jul-81,33.0,"1,81",right,
469,242417,512,George Waring,Centre-Forward,2015,,2-Dec-94,20.0,"1,96",right,
473,242681,2288,Josh Vickers,Goalkeeper,2015,,1-Dec-95,19.0,"1,93",,
484,130216,2288,Daniel Alfei,Right-Back,2015,,23-Feb-92,23.0,"1,80",right,
486,197910,2288,Liam Shephard,Right-Back,2015,,22-Nov-94,20.0,"1,78",right,CAA Base Ltd 
510,223790,1010,Luke Simpson,Goalkeeper,2015,,23-Sep-94,20.0,"1,90",left,KCD 
517,162395,1010,Essaïd Belkalem,Centre-Back,2015,1500000.0,1-Jan-89,26.0,"1,90",left,HNG Talent ltd 
