season_id,club_name,club_id,num_games,wins,draws,losses,goals_scored,goals_conceded,goal_differences,points,squad_number,avg_age,avg_mkv,total_mkv,CLUB_IN_SEASON_LINK,SQUAD_IN_SEASON_LINK
2015,Leicester City,1003,38,23,12,3,68,36,32,81,35,26.9,4600000.0,161100000.0,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2015,https://www.transfermarkt.com/leicester-city/kader/verein/1003/saison_id/2015
2015,FC Arsenal,11,38,20,11,7,65,36,29,71,41,24.7,11170000.0,457850000.0,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,https://www.transfermarkt.com/arsenal-fc/kader/verein/11/saison_id/2015
2015,Tottenham,148,38,19,13,6,69,35,34,70,31,23.7,12000000.0,371850000.0,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2015,https://www.transfermarkt.com/tottenham-hotspur/kader/verein/148/saison_id/2015
2015,Manchester City,281,38,19,9,10,71,41,30,66,38,25.4,13140000.0,499350000.0,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,https://www.transfermarkt.com/manchester-city/kader/verein/281/saison_id/2015
2015,Manchester Utd.,985,38,19,9,10,49,35,14,66,44,23.5,10000000.0,439850000.0,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2015,https://www.transfermarkt.com/manchester-united/kader/verein/985/saison_id/2015
2015,Southampton,180,38,18,9,11,59,41,18,63,35,25.0,6440000.0,225500000.0,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2015,https://www.transfermarkt.com/southampton-fc/kader/verein/180/saison_id/2015
2015,West Ham Utd.,379,38,16,14,8,65,51,14,62,50,24.2,4030000.0000000005,201330000.0,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2015,https://www.transfermarkt.com/west-ham-united/kader/verein/379/saison_id/2015
2015,Liverpool,31,38,16,12,10,63,50,13,60,44,23.4,8530000.0,375250000.0,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2015,https://www.transfermarkt.com/liverpool-fc/kader/verein/31/saison_id/2015
2015,Stoke City,512,38,14,9,15,41,55,-14,51,31,27.3,4740000.0,147000000.0,https://www.transfermarkt.com/stoke-city/startseite/verein/512/saison_id/2015,https://www.transfermarkt.com/stoke-city/kader/verein/512/saison_id/2015
2015,FC Chelsea,631,38,12,14,12,59,53,6,50,40,24.7,13840000.0,553500000.0,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,https://www.transfermarkt.com/chelsea-fc/kader/verein/631/saison_id/2015
2015,FC Everton,29,38,11,14,13,59,55,4,47,39,25.7,6410000.0,249850000.0,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2015,https://www.transfermarkt.com/everton-fc/kader/verein/29/saison_id/2015
2015,Swansea City,2288,38,12,11,15,42,52,-10,47,36,25.8,4050000.0,145800000.0,https://www.transfermarkt.com/swansea-city/startseite/verein/2288/saison_id/2015,https://www.transfermarkt.com/swansea-city/kader/verein/2288/saison_id/2015
2015,FC Watford,1010,38,12,9,17,40,50,-10,45,39,27.4,3510000.0,137000000.0,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2015,https://www.transfermarkt.com/watford-fc/kader/verein/1010/saison_id/2015
2015,West Brom,984,38,10,13,15,34,48,-14,43,35,26.4,3230000.0,113100000.0,https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984/saison_id/2015,https://www.transfermarkt.com/west-bromwich-albion/kader/verein/984/saison_id/2015
2015,Crystal Palace,873,38,11,9,18,39,51,-12,42,38,26.6,3570000.0,135700000.0,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2015,https://www.transfermarkt.com/crystal-palace/kader/verein/873/saison_id/2015
