,name,player_name,mk_value
0,Connor Ronan,Connor Ronan,750000.0
1,Óscar Trejo,Óscar Trejo,3000000.0
2,Jason Berthomier,Jason Berthomier,1200000.0
3,Liam Henderson,Liam Henderson,2800000.0
4,Florian Tardieu,Florian Tardieu,3000000.0
5,Paul Seguin,Paul Seguin,2200000.0
6,Tristan Dingomé,Tristan Dingomé,2500000.0
7,Dani Rodríguez,Dani Rodríguez,1200000.0
8,Jim Allevinah,Jim Allevinah,2000000.0
9,Jeremy Dudziak,Jeremy Dudziak,1600000.0
10,Dimitri Liénard,Dimitri Liénard,2000000.0
11,Azzedine Ounahi,Azzedine Ounahi,3000000.0
12,Sedrick Kalombo,Sedrick Kalombo,150000.0
13,Abdelhamid Sabiri,Abdelhamid Sabiri,3000000.0
14,Danylo Ignatenko,Danylo Ignatenko,1500000.0
15,Fredrik Jensen,Fredrik Jensen,2500000.0
16,Jacopo Dezi,Jacopo Dezi,1600000.0
17,Alassane Sidibe,Alassane Sidibe,1000000.0
18,Giovanni Crociata,Giovanni Crociata,900000.0
19,Patrick Leal,Patrick Leal,75000.0
20,Tiago Ribeiro,Tiago Ribeiro,250000.0
