id,season_id,player_id,total_games,games_played,goals,assists,ppg,yellow_cards,second_yellow_cards,red_cards
1,2015,157509,25,23,1,,1.26,1,,
2,2015,27511,33,23,2,,1.09,,2,
3,2015,177476,27,24,1,,1.38,1,4,
4,2015,136610,16,14,2,1,1.43,,6,
5,2015,3160,26,24,1,1,1.25,3,2,1
6,2015,245893,5,2,,,1.5,1,1,
7,2015,303254,2,1,,,1,,,
8,2015,316551,2,1,,,3,,,
9,2015,224884,29,15,,1,1.4,3,1,
10,2015,57500,38,37,2,4,1.35,3,7,
11,2015,36827,33,33,2,2,1.39,2,5,
12,2015,236490,1,,,,,,,
13,2015,74683,37,33,2,3,1.39,8,4,1
14,2015,30739,35,25,,1,1.48,4,6,
15,2015,8806,37,37,5,7,1.32,8,5,
16,2015,54170,42,38,6,1,1.71,17,3,
17,2015,202886,30,13,1,1,1.38,2,,
18,2015,236496,1,,,,,,,
19,2015,91970,38,29,4,4,2.21,4,2,
20,2015,59866,25,21,1,2,1.38,11,,
21,2015,85314,30,27,3,3,1.33,12,4,
22,2015,258216,2,,,,,,,
23,2015,50202,31,31,4,4,1.32,6,2,
24,2015,52769,35,35,5,9,1.26,14,5,
25,2015,281404,24,14,1,,1.21,3,,
26,2015,65278,29,29,7,3,1.41,15,3,
27,2015,131996,23,10,2,1,1,4,,
28,2015,44779,29,28,12,7,1.43,6,8,
29,2015,39152,14,10,1,,0.5,,1,
30,2015,37579,10,2,1,,1.5,1,,
31,2015,45121,25,13,1,,1.46,3,,
32,2015,183334,23,13,,,0.62,2,,
33,2015,331726,2,2,,,1,,,
34,2015,54781,33,30,1,,1.67,1,9,
35,2015,9594,15,14,2,,2,1,5,
36,2015,277114,24,17,,2,1.41,4,1,
37,2015,2963,37,20,,,1.65,1,3,
38,2015,277723,3,,,,,,,
39,2015,46156,35,29,3,4,1.79,2,3,
40,2015,7449,25,14,,1,1.64,2,,
41,2015,277179,2,,,,,,,
42,2015,15956,36,34,,7,1.76,8,1,
43,2015,20007,25,13,,1,1.77,1,3,
44,2015,26764,34,28,,3,1.79,1,4,
45,2015,251876,2,,,,,,,
46,2015,210202,1,,,,,,,
47,2015,26267,35,33,2,3,1.67,4,8,
48,2015,51174,28,24,2,,1.46,4,4,
49,2015,181498,1,,,,,,,
50,2015,13091,32,32,6,5,1.84,12,3,
51,2015,50362,19,17,2,,1.76,7,,
52,2015,261504,2,,,,,,,
53,2015,88755,28,27,7,9,1.78,5,3,
54,2015,35518,24,24,2,11,1.92,12,1,
55,2015,18935,12,12,2,3,2.33,2,3,
56,2015,229695,3,1,,1,,,,
57,2015,277118,8,1,,,3,,,
58,2015,134425,34,31,6,2,1.52,15,1,
59,2015,214927,2,,,,,,,
60,2015,225452,21,12,6,1,2,2,,
61,2015,26399,32,30,24,2,1.73,16,1,
62,2015,81808,29,26,4,3,1.85,9,1,
63,2015,295330,35,26,8,2,1.65,5,1,
64,2015,76277,34,33,4,,1.91,2,4,
65,2015,6710,31,24,,,1.88,1,1,
66,2015,149498,35,21,1,,1.76,,4,
67,2015,215118,29,12,,,2.17,,2,
68,2015,27306,26,11,,,1.18,5,1,
69,2015,43003,38,37,,3,1.89,,1,
70,2015,44792,32,15,1,,2.4,2,,
71,2015,191217,36,36,1,5,1.94,,3,
72,2015,126321,21,20,2,,1.45,2,3,
73,2015,74869,27,26,,,1.88,8,5,1
74,2015,160438,32,27,2,1,2.22,6,7,
75,2015,17396,20,16,,,1.69,3,2,
76,2015,50057,32,31,5,4,1.77,2,4,
77,2015,15799,17,15,,3,2,2,2,1
78,2015,74223,4,3,,,1.67,1,,
79,2015,143424,23,22,1,1,2.09,8,,
80,2015,7451,13,9,,1,2.22,1,1,
81,2015,35664,35,35,6,19,1.89,14,4,
82,2015,326300,6,,,,,,,
83,2015,242631,21,13,2,2,1.77,7,,
84,2015,33713,33,28,5,3,1.79,13,,
85,2015,131248,30,19,3,3,1.74,10,,
86,2015,159471,6,1,,,,,,
87,2015,121990,20,20,2,1,1.45,9,6,
88,2015,40433,30,30,13,5,1.8,12,1,
89,2015,82442,38,38,16,6,1.87,8,2,
90,2015,67063,12,11,4,2,1.55,7,1,
91,2015,127194,6,3,,1,2.33,,,
92,2015,103427,35,35,,,1.71,,8,
93,2015,93176,18,16,,1,2.06,6,3,
94,2015,117996,13,10,,,1.7,2,,
95,2015,167268,23,8,,,1.75,2,,
96,2015,342046,2,,,,,,,
97,2015,183288,5,5,,1,2,,1,
98,2015,12282,37,35,1,1,1.69,3,2,
99,2015,258879,16,10,,1,1.7,1,,
100,2015,134414,6,3,,,2,,,
101,2015,54906,31,28,1,,1.79,11,8,
102,2015,14086,25,18,1,3,1.72,3,5,
103,2015,33544,18,14,,3,2.14,2,1,
104,2015,188862,12,4,,,1.75,,1,
105,2015,179451,1,1,,,,,,
106,2015,315131,10,8,,1,2.25,1,1,
107,2015,56818,37,29,1,,1.9,4,3,
108,2015,3878,31,28,,,1.68,7,4,
109,2015,387036,2,,,,,,,
110,2015,99343,32,27,3,2,1.89,11,4,
111,2015,39679,27,18,1,,1.33,6,2,
112,2015,2514,18,18,1,1,2,5,3,
113,2015,183293,1,,,,,,,
114,2015,251058,5,1,,,3,,,
115,2015,289843,1,,,,,,,
116,2015,44068,38,38,6,7,1.74,15,4,1
117,2015,141660,25,25,4,1,1.8,8,4,
118,2015,203394,21,4,,,1.5,,2,
119,2015,134424,1,1,,,,,,
120,2015,258923,13,11,5,2,2,7,,
121,2015,177847,19,11,1,2,1.55,2,1,
122,2015,3332,28,28,8,6,1.68,4,4,
123,2015,182877,35,34,11,5,1.59,3,2,
124,2015,167850,37,29,2,1,1.69,6,2,
125,2015,50935,32,29,17,3,1.66,11,6,
126,2015,214104,1,1,,,,,,
127,2015,118535,1,1,,,,,,
128,2015,47713,25,22,1,,1.55,2,1,
129,2015,37838,26,24,,,1.5,3,2,
130,2015,24180,26,22,1,,1.41,1,5,
131,2015,121280,17,6,,,1.33,,,
132,2015,177859,2,,,,,,,
133,2015,256178,8,5,,1,1.4,1,3,
134,2015,3202,30,14,1,,2.21,3,1,
135,2015,207917,34,32,1,4,1.56,3,3,
136,2015,175745,13,4,,,1,,1,1
137,2015,85177,34,33,1,,1.48,,6,
138,2015,145922,10,5,,1,2,1,1,
139,2015,128912,17,10,,,1.1,1,1,
140,2015,262545,14,3,,,2.33,1,,
