player_id,total_games,games_played,goals,assists,ppg,yellow_cards,second_yellow_cards,red_cards
258004,31,29,2,4,2.48,3,5,
176553,35,33,4,,2.52,5,5,
186590,27,14,1,,2.5,1,,
177476,36,14,2,,2.64,2,,
340460,7,4,,,1.25,2,,
581669,7,1,,,3,,,
609883,14,,,,,,,
203853,32,15,,4,2.67,,,
576121,6,,,,,,,
157495,2,1,,,,1,,
182712,37,36,1,7,2.42,1,7,
95424,27,20,,2,2.2,1,1,
627228,29,28,1,3,1.96,11,4,
357565,35,33,7,2,2.52,4,5,
628451,9,,,,,,,
26267,51,32,3,3,2.25,8,6,
53622,35,27,8,3,2.7,5,1,
583199,13,2,,,3,,,
433183,2,,,,,,,
88755,33,30,15,8,2.3,9,2,
241641,38,35,8,4,2.49,6,6,
568177,24,4,,,3,1,,
406635,33,28,9,5,2.43,9,1,
134425,37,30,13,6,2.43,6,1,
203460,34,26,3,3,2.31,7,3,
398184,25,22,6,5,2.27,9,1,
680806,1,,,,,,,
171424,36,28,11,5,2.39,5,,
668265,3,1,,,3,,,
363205,34,28,8,9,2.43,8,1,
610849,4,1,,,3,,,
139208,35,34,3,4,2.41,,3,
357119,37,11,,,2.27,,2,
256178,29,8,,1,2.5,1,2,
82105,35,31,3,3,2.48,,2,
371814,4,,,,,,,
503679,1,,,,,,,
632349,1,,,,,,,
234803,33,29,3,10,2.41,3,5,
338070,36,13,,2,2.15,1,3,
551001,3,,,,,,,
314353,34,32,2,12,2.38,2,2,
503680,13,1,,1,3,,,
624258,1,,,,,,,
225693,30,29,5,1,2.38,5,7,
433188,25,15,1,1,2.47,6,,
302215,29,23,3,1,2.43,10,3,
60444,26,25,1,4,2.64,12,2,
143424,29,17,2,1,2.41,9,,
61651,35,35,2,5,2.43,11,3,
618494,9,2,,,2,1,1,
3333,32,24,,1,2.63,5,2,
565822,12,6,,,2.67,2,,
344015,30,24,3,1,1.54,13,4,
200512,34,34,16,4,2.35,7,5,
480692,34,31,18,8,2.74,20,2,
340950,36,35,15,6,2.37,17,3,
165793,26,11,3,,2.55,,1,
148455,35,35,23,14,2.37,5,1,
732119,4,1,,,3,,,
131789,22,20,5,4,2.25,7,3,
148368,18,7,3,1,2.57,,,
86202,35,34,3,2,1.91,1,9,
196948,28,19,,,2.21,2,2,
157509,27,24,1,,1.5,2,1,
346314,33,20,3,1,2.3,4,2,
344596,29,8,,,2,2,2,
29241,36,32,3,1,1.81,2,2,
316125,13,7,3,1,2.71,,,
181778,34,30,1,2,1.63,6,3,
670858,2,,,,,,,
472423,27,26,5,9,1.73,4,4,
57500,34,27,1,2,1.78,8,3,
102017,36,29,6,2,2.07,8,5,
51471,25,25,2,5,2.04,5,4,
148928,36,13,,1,2.38,2,1,
202886,30,24,,3,1.88,3,1,
423744,31,24,,1,0.33,6,2,
131978,27,6,1,,2.33,1,,
346483,35,32,11,10,1.97,7,4,
309400,35,29,8,4,2,11,3,
581675,3,,,,,,,
392768,22,15,1,3,1.93,8,1,
281404,8,1,,1,3,1,,
315779,27,22,6,2,1.77,4,2,
217111,36,23,4,3,1.91,6,3,
96341,29,26,8,1,1.88,5,1,
331726,38,37,17,4,1.7,13,9,
170527,28,21,4,1,1.9,8,1,
164770,24,22,1,1,1.73,,,
177907,33,30,1,,1.67,1,7,1
184573,33,28,,2,1.39,1,4,
286384,21,4,,,1.75,2,1,
117996,24,4,,,1,1,,
183288,22,20,,3,1.5,4,8,
255755,29,21,,4,1.57,2,1,
507700,33,26,,1,0.69,4,8,
811778,4,,,,,,,
477758,30,20,,,1.25,1,2,
357147,37,24,,,1.63,1,4,
315969,31,30,1,1,1.47,8,9,
240306,36,36,10,6,1.44,9,10,
141660,32,16,2,,1.44,2,1,
203394,15,13,2,1,1.31,4,2,
607224,7,2,,,,1,2,
44068,29,7,,,1,2,,
401173,32,29,3,3,1.55,9,,
258923,28,25,4,2,1.36,10,2,
583189,24,21,2,2,1.43,9,,
811779,7,2,,,0.5,,,
319301,35,34,4,5,1.12,12,7,
536835,10,5,1,,1.6,2,,
640026,2,1,,,,,,
532826,21,18,5,1,1.72,12,1,
8198,31,31,18,3,1.61,6,9,
182877,22,17,1,1,1.65,9,1,
48280,15,15,2,1,1.47,3,,
355915,24,22,1,,1.64,2,8,
